;Experiment #1;;;;Experiment #2;;;;Experiment #3;;;;Experiment #4;;;;Experiment #5;;;;Experiment #6;;;;Experiment #7;Ne pas utiliser, déjà perfusé par NH4Cl à t = 0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time (s);pH Value 1;;;Time (s);pH Value 2;;;Time (s);pH Value 3;;;Time (s);pH Value 4;;;Time (s);pH Value (5);;;Time (s);pH Value 6;;;Time (s);pH Value (7);;;;;
;37,78;7,902758465;;;218,93;7,693041978;;;102,34;7,936399858;;;151,85;7,576909907;;;58,93;7,688249143;;;405;8,281406828;;;260,15;7,598650309;;;;;
;38,78;7,953261895;;;223,93;7,667124022;;;103,34;7,996894109;;;153,08;7,581198567;;;59,93;7,67668735;;;435;8,244353099;;;265,15;7,599592412;;;;;
;39,78;7,910645741;;;228,93;7,695619269;;;104,34;7,936399858;;;154,3;7,575057698;;;60,93;7,672961659;;;465;8,12940169;;;270,15;7,576635044;;;;;
;40,78;7,954347961;;;233,93;7,714049356;;;105,34;7,936399858;;;155,53;7,580864318;;;61,93;7,652164563;;;495;8,147096275;;;275,15;7,607889288;;;;;
;41,78;7,92760919;;;238,93;7,673209247;;;106,34;7,926731725;;;156,75;7,584889073;;;62,93;7,632910903;;;525;8,084067235;;;280,15;7,596657519;;;;;
;42,78;7,904392507;;;243,93;7,697178344;;;107,34;7,926731725;;;157,98;7,580721913;;;63,93;7,634822563;;;555;8,059510535;;;285,15;7,578151763;;;;;
;43,78;7,893938045;;;248,93;7,694490063;;;108,34;7,979428756;;;159,2;7,584075659;;;64,93;7,616003404;;;585;8,062231844;;;290,15;7,585358568;;;;;
;44,78;7,912845584;;;253,93;7,688066423;;;109,34;7,92879638;;;160,43;7,581275729;;;65,93;7,609603298;;;615;8,002319581;;;295,15;7,577968096;;;;;
;45,78;7,862714368;;;258,93;7,713410186;;;110,34;7,922127634;;;161,67;7,577315383;;;66,93;7,601347722;;;645;8,038719395;;;300,15;7,580965207;;;;;
;46,78;7,869796327;;;263,93;7,715373445;;;111,34;7,922127634;;;162,89;7,577208039;;;67,93;7,611128625;;;675;8,027352071;;;305,15;7,617731652;;;;;
;47,78;7,848791411;;;268,93;7,708480693;;;112,34;7,92147199;;;164,12;7,575671494;;;68,93;7,627743281;;;705;7,989465463;;;310,15;7,582501359;;;;;
;48,78;7,863272614;;;273,93;7,770635079;;;113,34;7,933190773;;;165,35;7,577501662;;;69,93;7,645746233;;;735;;;;315,15;7,535089311;;;;;
;49,78;7,849229357;;;293,93;7,727611901;;;114,34;7,843230617;;;166,9;7,581400223;;;70,93;7,647610016;;;765;7,986973712;;;320,15;7,602503051;;;;;
