;Experiment #1;;;;Experiment #2;;;;Experiment #3;;;;Experiment #4;;;;Experiment #5;;;;Experiment #6;;;;Experiment #7;Ne pas utiliser, déjà perfusé par NH4Cl à t = 0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Time (s);pH Value 1;;;Time (s);pH Value 2;;;Time (s);pH Value 3;;;Time (s);pH Value 4;;;Time (s);pH Value (5);;;Time (s);pH Value 6;;;Time (s);pH Value (7);;;;;
;1492,78;7,429997367;;;2794,75;7,256022338;;;3407,04;6,645658958;;;2585,38;7,50251038;;;1343,93;8,310411213;;;3584,89;5,761089151;;;;;;;;;
;1612,78;7,426661814;;;2795,75;7,241244348;;;3408,04;6,631555579;;;2615,38;7,488188083;;;1373,93;8,301479915;;;3589,89;5,653756118;;;;;;;;;
;1732,78;7,424323435;;;2796,75;7,240430842;;;3409,04;6,623022343;;;2645,38;7,479269553;;;1403,93;8,290298618;;;3594,89;5,558460187;;;;;;;;;
;1852,78;7,415279407;;;2797,75;7,237737021;;;3410,04;6,616237766;;;2675,38;7,484643657;;;1433,93;8,308190934;;;3599,89;5,453341927;;;;;;;;;
;1972,78;7,41064266;;;2798,75;7,229345897;;;3411,04;6,604117131;;;2705,38;7,488158836;;;1463,93;8,335287578;;;3604,89;5,360568443;;;;;;;;;
;2092,78;7,397003954;;;2799,75;7,229788112;;;3412,04;6,595006006;;;2735,38;7,485689878;;;1493,93;8,300784235;;;3609,89;5,262903633;;;;;;;;;
;2212,78;7,366625523;;;2800,75;7,224754044;;;3413,04;6,575496124;;;2765,38;7,485308491;;;1523,93;8,292126081;;;3614,89;5,203774642;;;;;;;;;
;2332,78;7,331170238;;;2801,75;7,231484257;;;3414,04;6,569981538;;;2795,38;7,479248846;;;1553,93;8,232742923;;;3619,89;5,093665824;;;;;;;;;
;2452,78;7,35413207;;;2802,75;7,223536637;;;3415,04;6,559322997;;;2825,38;7,482708086;;;1583,93;8,281771768;;;3624,89;5,031316495;;;;;;;;;
;2572,78;7,350462491;;;2803,75;7,217878011;;;3416,04;6,554920922;;;2855,38;7,478807396;;;1613,93;8,263495194;;;3629,89;4,742940265;;;;;;;;;
;2692,78;7,342416393;;;2804,75;7,21119396;;;3417,04;6,538105354;;;2885,38;7,476916703;;;1643,93;8,276884827;;;3634,89;;;;;;;;;;
;2812,78;7,318936814;;;2805,75;7,200459902;;;3418,04;6,529370551;;;2915,38;7,476967651;;;1673,93;8,336972614;;;3639,89;4,710219159;;;;;;;;;
;2932,78;7,294218286;;;2806,75;7,197148977;;;3419,04;6,514044215;;;2945,38;7,397407616;;;1703,93;8,263765059;;;3644,89;4,770239645;;;;;;;;;
;3052,78;7,263422768;;;2807,75;7,200462708;;;3420,04;6,503806664;;;2975,38;7,393005628;;;1733,93;8,216814267;;;3649,89;4,782057738;;;;;;;;;
;3160,03;;;;2808,75;7,204404694;;;3421,04;6,485840825;;;3005,38;7,395914269;;;1763,93;8,222186466;;;3654,89;4,676716009;;;;;;;;;
;3172,78;7,198503575;;;2809,75;7,201186977;;;3422,04;6,479805449;;;3035,38;7,395809001;;;1793,93;8,308068592;;;3659,89;7,132584977;;;;;;;;;
;3184,01;7,171134687;;;2810,75;7,199529382;;;3423,04;6,473969534;;;3065,38;7,394938451;;;1823,93;8,308068592;;;3664,89;;;;;;;;;;
;3194,01;7,16599222;;;2811,75;7,200075772;;;3424,04;6,455967142;;;3095,38;7,381276978;;;1853,93;8,257777597;;;3669,89;4,711515802;;;;;;;;;
;3204,01;7,142691156;;;2812,75;7,19658063;;;3425,04;6,456004779;;;3125,38;7,38202655;;;1883,93;8,259461277;;;3674,89;;;;;;;;;;
;3214,01;7,127983737;;;2813,75;7,195350106;;;3426,04;6,430108609;;;3155,38;7,372388405;;;1913,93;8,18504574;;;3679,89;4,788823092;;;;;;;;;
;3224,01;7,147391849;;;2814,75;7,197868369;;;3427,04;6,424908506;;;3185,38;7,355298188;;;1943,93;8,18123417;;;3684,89;4,791547898;;;;;;;;;
;3234,01;7,136740381;;;2815,75;7,18738323;;;3428,04;6,417345555;;;3215,38;7,360639555;;;1973,93;8,085797582;;;3689,89;4,757537808;;;;;;;;;
;3244,01;7,066300615;;;2816,75;7,186119209;;;3429,04;6,418297183;;;3245,38;7,349975684;;;2003,93;8,065428125;;;3691,25;;;;;;;;;;
;3254,01;7,059048281;;;2817,75;7,18452868;;;3430,04;6,394621812;;;3274,24;7,342781461;;;2033,92;8,119119653;;;3694,89;4,919513183;;;;;;;;;
;3264,01;7,056262405;;;2818,75;7,179799317;;;3431,04;6,383716554;;;3276,24;7,275162808;;;2063,92;8,094620329;;;3699,89;4,959476567;;;;;;;;;
;3274,01;7,080148693;;;2819,75;7,176343454;;;3432,04;6,389338971;;;3278,99;7,275162808;;;2093,92;8,091184053;;;3704,89;4,743889977;;;;;;;;;
;3284,01;7,078267374;;;2820,75;7,17782341;;;3433,04;6,350441802;;;3278,99;7,284555094;;;2123,92;8,174864692;;;3709,89;4,833223574;;;;;;;;;
;3294,01;7,083045112;;;2822,27;7,169061635;;;3434,04;6,361285657;;;3280,24;7,27962554;;;2153,92;8,069588209;;;3714,89;4,866192936;;;;;;;;;
;3304,01;7,10318472;;;2823,27;7,172288976;;;3435,04;6,336721563;;;3282,24;7,273147448;;;2183,92;8,049751727;;;3719,89;4,971243461;;;;;;;;;
;3314,72;7,117340274;;;2833,27;7,192086791;;;3436,04;6,336683664;;;3284,24;7,230756814;;;2213,92;7,986720447;;;3724,89;5,084160591;;;;;;;;;
;3324,72;7,106957738;;;2843,27;7,189511744;;;3437,04;6,334943313;;;3286,24;7,107367475;;;2243,92;8,002584201;;;3729,89;5,200828995;;;;;;;;;
;3334,72;7,106998148;;;2853,27;7,190477014;;;3438,04;6,311052037;;;3288,24;7,003457216;;;2273,92;7,936813865;;;3734,89;5,413683528;;;;;;;;;
;3344,72;7,121061573;;;2863,27;7,174071431;;;3439,04;6,307360888;;;3290,24;6,927032416;;;2303,92;7,913806595;;;3739,89;5,680912586;;;;;;;;;
;3354,72;7,112172772;;;2873,27;7,161214228;;;3440,04;6,292889325;;;3292,24;6,873940454;;;2333,92;7,86542203;;;3744,89;5,944488736;;;;;;;;;
;3364,72;7,121529446;;;2883,27;7,162856639;;;3441,04;6,280256644;;;3294,24;6,810160591;;;2363,92;7,854911256;;;3749,89;6,141402839;;;;;;;;;
;3374,72;7,121793475;;;2893,27;7,166154559;;;3442,04;6,294023851;;;3296,24;6,763464303;;;2393,92;7,830364549;;;3754,89;6,289264012;;;;;;;;;
;3384,72;7,124083265;;;2903,27;7,148524581;;;3443,04;6,294023851;;;3298,24;6,719935602;;;2423,92;7,811573209;;;3759,89;6,403797158;;;;;;;;;
;3394,72;7,116495966;;;2913,27;7,118632216;;;3444,04;6,145579777;;;3300,24;6,689681997;;;2453,92;7,825350102;;;3764,89;6,470365341;;;;;;;;;
;3404,72;7,123518182;;;2973,27;7,118632216;;;3445,55;6,233701556;;;3302,24;6,663619468;;;2483,92;7,80586388;;;3769,89;6,5199568;;;;;;;;;
;3414,72;7,129627869;;;3033,27;7,077530494;;;3446,55;6,226647842;;;3304,24;6,625361597;;;2513,92;7,792962302;;;3774,89;6,554359859;;;;;;;;;
;3424,72;7,140135858;;;3045,12;7,059509527;;;3447,55;6,201736174;;;3306,24;6,56868851;;;2543,92;7,768814084;;;3779,89;6,604747679;;;;;;;;;
;3434,72;7,138758144;;;3072,89;7,052947638;;;3448,55;6,240376358;;;3308,24;6,569506203;;;2573,92;7,736255142;;;3784,89;6,627704187;;;;;;;;;
;3444,72;7,153567594;;;3073,89;7,040365408;;;3449,55;6,266490802;;;3310,24;6,541273241;;;2603,92;7,690473041;;;3789,89;6,652937421;;;;;;;;;
;3454,72;7,142757353;;;3074,89;7,032072824;;;3450,55;6,17302969;;;3312,24;6,521683916;;;2633,92;7,650136335;;;3794,89;6,666807259;;;;;;;;;
;3464,72;7,140300927;;;3075,89;7,024794404;;;3451,55;6,195517423;;;3314,24;6,471247287;;;2663,92;7,631571399;;;3799,89;6,67708534;;;;;;;;;
;3474,72;7,161308817;;;3076,89;7,017388305;;;3452,55;6,275575441;;;3316,24;6,449646325;;;2693,92;7,609298667;;;3804,89;6,687693198;;;;;;;;;
;3484,72;7,155979271;;;3077,89;7,006609345;;;3456,31;6,141963518;;;3318,24;6,473066641;;;2723,92;7,598771794;;;3809,89;6,696128089;;;;;;;;;
;3494,72;7,159642747;;;3078,89;7,003509034;;;3457,31;6,130998939;;;3320,24;6,450390766;;;2753,92;7,580367361;;;3814,89;6,705071043;;;;;;;;;
;3504,72;7,158323622;;;3079,89;6,983980166;;;3458,31;6,077687571;;;3322,24;6,438642131;;;2783,92;7,543962487;;;3819,89;6,721128125;;;;;;;;;
;3514,72;7,16276809;;;3080,89;6,955106592;;;3459,31;6,114731812;;;3324,24;6,434960283;;;2813,92;7,544804294;;;3824,89;6,730722449;;;;;;;;;
;3524,72;7,158708266;;;3081,89;6,933109199;;;3460,31;5,997737588;;;3326,24;6,37999105;;;2843,92;7,548330005;;;3829,89;6,734330665;;;;;;;;;
;3534,72;7,16055491;;;3086,89;6,918259867;;;3461,31;6,102109168;;;3328,24;6,421129219;;;2873,92;7,540006095;;;3834,89;6,7442403;;;;;;;;;
;3544,72;7,159451627;;;3091,89;6,897146095;;;3462,31;6,082454601;;;3330,24;6,387481471;;;2903,92;7,529868296;;;3839,89;;;;;;;;;;
;3554,72;7,166505783;;;3096,89;6,878303581;;;3463,31;6,104512741;;;3332,24;6,366276597;;;2933,92;7,540227894;;;3844,89;6,764666336;;;;;;;;;
;3560,73;#NUM!;;;3101,89;6,867529642;;;3464,31;6,048745234;;;3334,24;6,339679192;;;2963,92;7,496583165;;;3849,89;6,76770607;;;;;;;;;
;3564,72;7,174913637;;;3106,89;6,854803978;;;3465,31;6,16089624;;;3336,24;6,291326853;;;2993,92;7,478428505;;;3854,89;6,758053327;;;;;;;;;
;3574,72;7,09007915;;;3111,89;6,841656026;;;3466,31;6,082646412;;;3338,24;6,30979818;;;3023,92;7,436023906;;;3859,89;6,754443503;;;;;;;;;
;3584,72;7,023823723;;;3116,89;6,834814675;;;3467,31;6,043684186;;;3340,24;#NUM!;;;3053,92;7,400585235;;;3864,89;6,774448077;;;;;;;;;
;3594,72;6,978292994;;;3121,89;6,823505981;;;3468,31;5,960464174;;;3342,24;6,258743413;;;3083,92;7,371756302;;;3869,89;6,781378393;;;;;;;;;
;3604,72;6,946874393;;;3126,89;6,813139769;;;3469,31;6,085505311;;;3344,24;6,293714451;;;3113,92;7,335191769;;;3874,89;6,798010973;;;;;;;;;
;3614,72;6,917462073;;;3131,89;6,799895948;;;3470,31;5,980812166;;;3346,24;6,20672308;;;3143,92;7,322467733;;;3879,89;6,799004037;;;;;;;;;
;3624,72;6,888849019;;;3136,89;6,780990748;;;3471,31;6,075806637;;;3348,24;6,24932252;;;3173,92;7,301992619;;;3884,89;6,799511098;;;;;;;;;
;3634,72;6,818754957;;;3141,89;6,770946425;;;3472,31;6,030927257;;;3350,24;6,353844958;;;3203,92;7,291583858;;;3889,89;6,800351581;;;;;;;;;
;3644,72;6,79277118;;;3146,89;6,740845228;;;3473,31;6,030839548;;;3352,24;6,152385655;;;3233,92;7,250550543;;;3894,89;6,810595833;;;;;;;;;
;3654,72;6,762277463;;;3151,89;6,691615632;;;3474,31;#NUM!;;;3354,24;6,238374911;;;3263,92;7,251151303;;;3899,89;6,812478142;;;;;;;;;
;3664,72;6,740815936;;;3166,89;6,683373002;;;3475,31;5,973930152;;;3356,24;6,264607927;;;3293,92;7,243427638;;;3904,89;6,821614837;;;;;;;;;
;3674,72;6,707511622;;;3181,89;6,652917407;;;3476,31;;;;3358,24;6,176813442;;;3323,92;7,24442349;;;3909,89;6,82900667;;;;;;;;;
;3684,72;6,682511082;;;3196,89;6,639283793;;;3477,31;;;;3360,24;6,190492282;;;3353,92;7,229199783;;;3914,89;6,841446606;;;;;;;;;
;3694,72;6,647322393;;;3211,89;6,606886348;;;3478,31;;;;3362,24;6,239506206;;;3383,92;7,222468639;;;3919,89;6,856674048;;;;;;;;;
;3704,72;;;;3226,89;6,592614894;;;3479,31;6,008900206;;;3364,24;6,231547034;;;3413,92;7,200338161;;;3924,89;6,849706449;;;;;;;;;
;3714,72;6,603626072;;;3241,89;6,553863537;;;3480,31;6,285579787;;;3366,24;6,257199138;;;3443,92;7,192779325;;;3929,89;6,875352042;;;;;;;;;
;3724,72;6,573464014;;;3256,89;6,556023513;;;3484,12;6,030561928;;;3368,24;;;;3473,92;7,175687949;;;3934,89;6,865873638;;;;;;;;;
;3737,34;6,544392909;;;3271,89;6,510545396;;;3485,12;6,061769932;;;3370,24;6,125061531;;;3498,26;7,169029401;;;3939,89;6,889107781;;;;;;;;;
;3747,34;6,496214345;;;3286,89;6,531074829;;;3486,12;6,066024049;;;3372,24;6,265062313;;;3499,26;7,150183862;;;3944,89;6,911105605;;;;;;;;;
;3757,34;;;;3301,89;6,379152762;;;3487,12;6,064036298;;;3374,24;6,211874064;;;3500,26;7,147685579;;;3949,89;6,926636405;;;;;;;;;
;3767,34;;;;3316,89;6,467839868;;;3488,12;6,032842886;;;3376,24;6,156014195;;;3501,26;7,146654171;;;3954,89;6,939008547;;;;;;;;;
;3777,34;6,402167909;;;3331,89;6,467841107;;;3489,12;5,996201459;;;3378,24;6,042716753;;;3502,26;7,145950987;;;3959,89;6,951557348;;;;;;;;;
;3787,34;#NUM!;;;3346,89;6,373369844;;;3490,12;#NUM!;;;3380,24;6,169475558;;;3503,26;7,148430346;;;3964,89;6,962726795;;;;;;;;;
;3797,34;#NUM!;;;3361,89;6,428586386;;;3491,12;6,043882184;;;3382,24;6,235617013;;;3504,26;7,148460494;;;3969,89;6,976191257;;;;;;;;;
;;;;;3376,89;6,342510056;;;3492,12;6,082632599;;;3384,24;6,165929241;;;3504,26;7,141667265;;;3974,89;6,983005724;;;;;;;;;
;;;;;;;;;3493,12;6,055639728;;;3386,24;#NUM!;;;3504,26;#NUM!;;;3979,89;6,994095604;;;;;;;;;
;;;;;;;;;3494,12;6,057234682;;;3388,24;6,155263335;;;3504,26;7,142241723;;;3984,89;7,0169892;;;;;;;;;
;;;;;;;;;3495,12;#NUM!;;;3390,24;6,116087326;;;3504,26;7,146425061;;;3989,89;7,024505594;;;;;;;;;
;;;;;;;;;3496,12;6,050255629;;;3392,24;#NUM!;;;3504,26;7,134456212;;;3994,89;7,031883037;;;;;;;;;
;;;;;;;;;3497,12;;;;3394,24;6,129395899;;;3504,26;7,148669283;;;3999,89;7,029742044;;;;;;;;;
;;;;;;;;;3498,12;#DIV/0!;;;3396,33;6,193163041;;;3504,26;7,146491682;;;4004,89;7,065537853;;;;;;;;;
;;;;;;;;;3499,4;6,047973606;;;3398,33;#NUM!;;;3504,26;7,14625751;;;4009,89;7,061537362;;;;;;;;;
;;;;;;;;;3499,4;#NUM!;;;3400,33;6,003367413;;;3504,26;7,144442969;;;4014,89;7,072190273;;;;;;;;;
;;;;;;;;;3500,12;6,147456728;;;3402,33;;;;3504,26;7,138976288;;;4019,89;7,088700765;;;;;;;;;
;;;;;;;;;3501,12;6,146541437;;;3404,33;;;;3504,26;7,138020785;;;4024,89;6,764666336;;;;;;;;;
;;;;;;;;;3502,12;6,19090172;;;3406,33;6,167704189;;;3504,26;7,126247487;;;4029,89;7,103148542;;;;;;;;;
;;;;;;;;;3503,12;6,259830789;;;3408,33;;;;3504,26;7,103817078;;;4034,89;7,117061571;;;;;;;;;
;;;;;;;;;3504,12;6,247669974;;;3410,33;6,166491109;;;3504,26;7,066189129;;;4039,89;7,116632168;;;;;;;;;
;;;;;;;;;3505,12;6,305312742;;;3412,33;6,132330011;;;3504,26;7,037475552;;;4044,89;7,130237387;;;;;;;;;
;;;;;;;;;3506,12;6,343822218;;;3415,53;;;;3504,26;7,013752389;;;4049,89;7,142004613;;;;;;;;;
;;;;;;;;;3507,12;6,374201742;;;3415,53;6,157071756;;;3504,26;6,986966216;;;4054,89;7,15024694;;;;;;;;;
;;;;;;;;;3508,12;6,406388355;;;3416,33;6,179120168;;;3504,26;6,952455936;;;4059,89;7,165494026;;;;;;;;;
;;;;;;;;;3509,12;6,44018217;;;3418,33;6,177099916;;;3504,26;6,926400989;;;4064,89;7,176635765;;;;;;;;;
;;;;;;;;;3510,12;6,477106773;;;3420,33;6,197609149;;;3504,26;6,912608334;;;4069,89;7,176225662;;;;;;;;;
;;;;;;;;;3511,12;6,500011192;;;3422,33;6,183649368;;;3504,26;6,921007096;;;4074,89;7,188957068;;;;;;;;;
;;;;;;;;;3512,12;6,524250179;;;3424,33;6,201523868;;;3504,26;6,956974937;;;4079,89;7,202771434;;;;;;;;;
;;;;;;;;;3513,12;6,556644835;;;3426,33;6,164860299;;;3504,26;6,987302553;;;4084,89;7,211734123;;;;;;;;;
;;;;;;;;;3514,12;6,576330716;;;3428,33;;;;3504,26;7,008573164;;;4089,89;7,227422351;;;;;;;;;
;;;;;;;;;3515,12;6,593474304;;;3430,33;6,109978188;;;3504,26;7,011301879;;;4094,89;7,235325872;;;;;;;;;
;;;;;;;;;3516,12;6,61648966;;;3432,33;6,229797712;;;3504,26;7,000803051;;;4099,89;7,253095946;;;;;;;;;
;;;;;;;;;3517,12;6,633103751;;;3434,33;6,331305862;;;3504,26;6,983543695;;;4104,89;7,262944997;;;;;;;;;
;;;;;;;;;3518,12;6,64544739;;;3436,33;6,296034126;;;3504,26;6,965176545;;;4119,89;7,353176024;;;;;;;;;
;;;;;;;;;3519,12;6,661279762;;;3438,33;6,439233192;;;3504,26;6,950777239;;;4134,89;7,428302642;;;;;;;;;
;;;;;;;;;3520,12;6,671781887;;;3440,33;6,485215157;;;3504,26;6,935631681;;;4149,89;7,520827973;;;;;;;;;
;;;;;;;;;3521,12;6,676449191;;;3442,33;6,531429924;;;3504,26;6,916564047;;;4164,89;;;;;;;;;;
;;;;;;;;;3522,12;6,693241844;;;3444,33;6,595312721;;;3504,26;6,900527404;;;4179,89;;;;;;;;;;
;;;;;;;;;3523,12;6,69837793;;;3446,33;6,649479136;;;3504,26;6,888625503;;;4194,89;7,609162196;;;;;;;;;
;;;;;;;;;3524,12;6,70347756;;;3448,33;6,680432316;;;3504,26;6,871318236;;;4209,89;7,569721889;;;;;;;;;
;;;;;;;;;3525,12;6,714375037;;;3450,33;6,724665903;;;3504,26;6,849754813;;;4224,89;7,581126452;;;;;;;;;
;;;;;;;;;3526,12;6,711554673;;;3452,33;6,752883468;;;3504,26;6,837231024;;;4239,89;7,558643785;;;;;;;;;
;;;;;;;;;3527,12;6,72213865;;;3454,33;6,785997228;;;3504,26;6,826804155;;;4254,89;;;;;;;;;;
;;;;;;;;;3528,12;6,729015723;;;3456,33;6,805399166;;;3504,26;6,817993736;;;;;;;;;;;;;
;;;;;;;;;3529,12;6,7350355;;;3458,33;6,830041925;;;3504,26;6,811764862;;;;;;;;;;;;;
;;;;;;;;;3530,12;6,739454997;;;3460,33;6,861546741;;;3504,26;6,808737249;;;;;;;;;;;;;
;;;;;;;;;3531,12;6,744162414;;;3462,33;6,88775816;;;3504,26;6,808158361;;;;;;;;;;;;;
;;;;;;;;;3532,12;6,747753532;;;3464,33;6,906225372;;;3504,26;6,814299706;;;;;;;;;;;;;
;;;;;;;;;3533,12;6,748699626;;;3466,33;6,930563045;;;3504,26;6,815076903;;;;;;;;;;;;;
;;;;;;;;;3534,12;6,754178367;;;3468,33;6,946666405;;;3504,26;6,827890738;;;;;;;;;;;;;
;;;;;;;;;3535,12;6,75679422;;;3470,33;6,961201968;;;3504,26;6,834524115;;;;;;;;;;;;;
;;;;;;;;;3536,12;6,759587449;;;3472,33;6,981425659;;;3504,26;6,85050218;;;;;;;;;;;;;
;;;;;;;;;3537,12;6,760483364;;;3474,33;6,982939922;;;3504,26;6,860841211;;;;;;;;;;;;;
;;;;;;;;;3538,12;6,766141969;;;3476,33;7,009935773;;;3504,26;6,867264404;;;;;;;;;;;;;
;;;;;;;;;3539,12;6,769180702;;;3478,33;7,033754577;;;3504,26;6,874536809;;;;;;;;;;;;;
;;;;;;;;;3540,12;6,767425755;;;3480,33;7,053609635;;;3504,26;6,882825316;;;;;;;;;;;;;
;;;;;;;;;3541,12;6,771757511;;;3482,33;7,076626484;;;3504,26;6,883189399;;;;;;;;;;;;;
;;;;;;;;;3542,12;6,775290973;;;3484,33;7,089945057;;;3504,26;6,887805477;;;;;;;;;;;;;
;;;;;;;;;3543,12;6,77656965;;;3486,33;7,09528641;;;3504,26;6,887472665;;;;;;;;;;;;;
;;;;;;;;;3544,12;6,780215959;;;3488,33;7,110492746;;;3504,26;6,888391751;;;;;;;;;;;;;
;;;;;;;;;3545,12;6,78311369;;;3490,33;7,110654818;;;3504,26;6,890045516;;;;;;;;;;;;;
;;;;;;;;;3546,12;6,78546641;;;3492,33;7,118716602;;;3504,26;6,884994679;;;;;;;;;;;;;
;;;;;;;;;3547,12;6,787120743;;;3494,33;7,117832121;;;3504,26;6,886399379;;;;;;;;;;;;;
;;;;;;;;;3548,12;6,78891477;;;3496,33;7,117101315;;;3504,26;6,896091562;;;;;;;;;;;;;
;;;;;;;;;3549,12;6,790280167;;;3498,33;7,114288601;;;3504,26;6,921580778;;;;;;;;;;;;;
;;;;;;;;;3550,12;6,790021053;;;3500,33;7,119553846;;;3504,26;6,942287013;;;;;;;;;;;;;
;;;;;;;;;3551,12;6,791859207;;;3502,33;7,127765935;;;3504,26;6,958599885;;;;;;;;;;;;;
;;;;;;;;;3552,12;6,795573362;;;3504,33;7,134266302;;;3504,26;6,960717018;;;;;;;;;;;;;
;;;;;;;;;3553,12;6,795404078;;;3506,33;7,141390464;;;3504,26;6,962508956;;;;;;;;;;;;;
;;;;;;;;;3554,12;6,797792492;;;3508,33;7,139525889;;;3504,26;6,958154635;;;;;;;;;;;;;
;;;;;;;;;3555,12;6,801058728;;;3510,33;7,145320404;;;3504,26;6,945898236;;;;;;;;;;;;;
;;;;;;;;;3556,12;6,800579838;;;3512,33;7,148894365;;;3504,26;6,942560662;;;;;;;;;;;;;
;;;;;;;;;3557,12;6,804953557;;;3514,33;7,150736923;;;3504,26;6,931075389;;;;;;;;;;;;;
;;;;;;;;;3558,12;6,803459483;;;3516,33;7,163491982;;;3504,26;6,915348474;;;;;;;;;;;;;
;;;;;;;;;3559,12;6,806928268;;;3518,33;7,165129589;;;3504,26;6,898700223;;;;;;;;;;;;;
;;;;;;;;;3560,12;6,806031052;;;3520,33;7,1711319;;;3504,26;6,888307344;;;;;;;;;;;;;
;;;;;;;;;3561,12;6,809912724;;;3522,33;7,169543811;;;3504,26;6,876838483;;;;;;;;;;;;;
;;;;;;;;;3562,12;6,810937414;;;3524,33;7,1733064;;;3504,26;6,867723969;;;;;;;;;;;;;
;;;;;;;;;3563,12;6,813895258;;;3526,33;7,17026359;;;3504,26;6,846241753;;;;;;;;;;;;;
;;;;;;;;;3564,12;6,813245062;;;3528,33;7,174752266;;;3504,26;6,812129053;;;;;;;;;;;;;
;;;;;;;;;3565,12;6,815715015;;;3530,33;7,171537907;;;3504,26;6,775952208;;;;;;;;;;;;;
;;;;;;;;;3566,12;6,818189832;;;3532,33;7,168801676;;;3504,26;6,742467669;;;;;;;;;;;;;
;;;;;;;;;3567,12;6,820523965;;;3534,33;7,171763586;;;3504,26;6,71480257;;;;;;;;;;;;;
;;;;;;;;;3568,12;6,822379496;;;3536,33;7,174742666;;;3504,26;6,691403344;;;;;;;;;;;;;
;;;;;;;;;3569,12;6,824575106;;;3538,33;7,179673672;;;3504,26;6,660740273;;;;;;;;;;;;;
;;;;;;;;;3570,12;6,828072034;;;3540,33;7,178204739;;;3504,26;6,623142572;;;;;;;;;;;;;
;;;;;;;;;3571,12;6,829845116;;;3542,33;7,189128557;;;3504,26;6,603120969;;;;;;;;;;;;;
;;;;;;;;;3572,12;6,832431037;;;3544,33;7,192010935;;;3504,26;6,576169958;;;;;;;;;;;;;
;;;;;;;;;3573,12;6,833067327;;;3546,33;7,194193834;;;3504,26;6,550160015;;;;;;;;;;;;;
;;;;;;;;;3574,12;6,833038052;;;3548,33;7,19617345;;;3504,26;6,519088276;;;;;;;;;;;;;
;;;;;;;;;3575,12;6,837539356;;;3550,33;7,200599082;;;3504,26;6,503295694;;;;;;;;;;;;;
;;;;;;;;;3576,12;6,839590369;;;3552,33;7,202580112;;;3504,26;6,489164381;;;;;;;;;;;;;
;;;;;;;;;3577,12;6,840125613;;;3554,33;7,203245674;;;3504,26;6,488157613;;;;;;;;;;;;;
;;;;;;;;;3578,12;6,844380497;;;3556,33;7,208321861;;;3504,26;6,491551558;;;;;;;;;;;;;
;;;;;;;;;3579,12;6,846958959;;;3558,33;7,215850133;;;3504,26;6,489998323;;;;;;;;;;;;;
;;;;;;;;;3580,12;6,847295245;;;3560,33;7,207665507;;;3504,26;6,487222258;;;;;;;;;;;;;
;;;;;;;;;3581,12;6,851567724;;;3562,33;7,207947777;;;3504,26;6,491657387;;;;;;;;;;;;;
;;;;;;;;;3582,12;6,8545253;;;3564,33;7,210887439;;;3504,26;6,48961185;;;;;;;;;;;;;
;;;;;;;;;3583,12;6,853935873;;;3566,33;7,198557388;;;3504,26;6,5004919;;;;;;;;;;;;;
;;;;;;;;;3584,12;6,856735806;;;3568,33;7,204766653;;;3504,26;6,511250791;;;;;;;;;;;;;
;;;;;;;;;3585,12;6,860687831;;;3570,33;7,21273645;;;3504,26;#NUM!;;;;;;;;;;;;;
;;;;;;;;;3586,12;6,862064125;;;3572,33;7,226040485;;;3504,26;6,521429008;;;;;;;;;;;;;
;;;;;;;;;3587,12;6,863771009;;;3574,33;7,226283975;;;3504,26;6,530044721;;;;;;;;;;;;;
;;;;;;;;;3588,12;6,864924198;;;3576,33;7,227160394;;;3504,26;6,543167975;;;;;;;;;;;;;
;;;;;;;;;3589,12;6,870970343;;;3578,33;7,227191069;;;3504,26;6,53477345;;;;;;;;;;;;;
;;;;;;;;;3590,12;6,872946024;;;3580,33;7,225228221;;;3504,26;6,540121226;;;;;;;;;;;;;
;;;;;;;;;3591,12;6,874100966;;;3582,33;7,230958767;;;3504,26;6,540221438;;;;;;;;;;;;;
;;;;;;;;;3592,12;6,876870053;;;3584,33;7,227204675;;;3504,26;6,549720104;;;;;;;;;;;;;
;;;;;;;;;3593,12;6,880955913;;;3586,33;7,234914056;;;3504,26;6,558411247;;;;;;;;;;;;;
;;;;;;;;;3594,12;6,882592425;;;3588,33;7,225088452;;;3504,26;6,565761021;;;;;;;;;;;;;
;;;;;;;;;3595,12;6,885520477;;;3590,33;7,223160961;;;3504,26;6,575354986;;;;;;;;;;;;;
;;;;;;;;;3596,12;6,889320204;;;3592,33;7,213958845;;;3504,26;6,583587526;;;;;;;;;;;;;
;;;;;;;;;3597,12;6,890917955;;;3594,33;7,209042671;;;3504,26;6,587594452;;;;;;;;;;;;;
;;;;;;;;;3598,12;6,893728182;;;3596,33;7,201184833;;;3504,26;6,598476502;;;;;;;;;;;;;
;;;;;;;;;3599,12;6,894957688;;;3598,33;7,210951272;;;3504,26;6,605966407;;;;;;;;;;;;;
;;;;;;;;;3600,12;6,899271438;;;3600,33;7,212668925;;;3504,26;6,612000914;;;;;;;;;;;;;
;;;;;;;;;3601,12;6,903000211;;;3602,33;7,222768348;;;3504,26;6,615434787;;;;;;;;;;;;;
;;;;;;;;;3602,12;6,903764324;;;3604,33;7,231098037;;;3504,26;6,623904672;;;;;;;;;;;;;
;;;;;;;;;3603,12;6,907901467;;;3606,33;7,237297277;;;3504,26;6,623553561;;;;;;;;;;;;;
;;;;;;;;;3604,12;6,910956043;;;3608,33;7,243742014;;;3504,26;6,626540089;;;;;;;;;;;;;
